epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1175.15,3.21937,3.69273,3.72512,0.35871,0.07973,0.02096,0.00688,2.45412,5.38642,3.04575,0.000473964,0.000473964,0.000473964
2,3303.99,2.37474,2.94498,2.66621,0.13451,0.26351,0.10028,0.05259,1.85588,3.59218,2.27985,0.000931481,0.000931481,0.000931481
3,4682.48,2.04545,2.62924,2.26957,0.13811,0.23436,0.1025,0.0633,1.67554,4.06525,2.0617,0.00137014,0.00137014,0.00137014
4,5983.14,1.91299,2.4483,2.09158,0.14223,0.27181,0.11492,0.06998,1.64465,3.00769,2.0093,0.00134412,0.00134412,0.00134412
5,7175.33,1.83065,2.34209,1.97921,0.20303,0.3162,0.17283,0.10857,1.47257,2.9364,1.84406,0.00131582,0.00131582,0.00131582
6,9078.79,1.76137,2.24651,1.90221,0.14578,0.29169,0.13945,0.08536,1.48602,3.18466,1.83489,0.00128753,0.00128753,0.00128753
7,10311.9,1.74454,2.20975,1.86958,0.21503,0.41404,0.23467,0.15629,1.3846,2.42089,1.72453,0.00125923,0.00125923,0.00125923
8,11415.7,1.69611,2.16204,1.84295,0.22423,0.31842,0.18927,0.1194,1.44605,2.31699,1.76309,0.00123094,0.00123094,0.00123094
9,12534.3,1.66781,2.07704,1.78975,0.24499,0.3495,0.23036,0.15232,1.33355,2.39335,1.66969,0.00120265,0.00120265,0.00120265
10,13691.1,1.64164,2.03046,1.75533,0.27986,0.38645,0.23278,0.15424,1.38096,2.13829,1.6938,0.00117435,0.00117435,0.00117435
11,15522.9,1.62135,1.96153,1.73173,0.23981,0.40455,0.23256,0.16133,1.28434,2.11608,1.62794,0.00114606,0.00114606,0.00114606
12,17572.3,1.59378,1.97746,1.72685,0.2245,0.46358,0.21326,0.14282,1.2918,2.61544,1.63368,0.00111776,0.00111776,0.00111776
13,19172.6,1.58148,1.93206,1.71216,0.24748,0.3994,0.2204,0.15202,1.21912,2.18858,1.58789,0.00108947,0.00108947,0.00108947
